mine_largo,mine_corto,perfil,horizonte,porcentaje
Cuarzo,Qz,CS01,A,0
Cuarzo,Qz,CS01,E,0
Cuarzo,Qz,CS01,Bt,35
Cuarzo,Qz,CS01,B/C,0
Cuarzo,Qz,CS01,Bn1,39
Cuarzo,Qz,CS01,Bt1,71
Cuarzo,Qz,CS01,C1,0
Cuarzo,Qz,CS03,A/E,72
Cuarzo,Qz,CS03,Bth,20
Cuarzo,Qz,CS03,B,0
Cuarzo,Qz,CS03,Bdc2,53
Cuarzo,Qz,CS03,B/C2,54
Cuarzo,Qz,CS03,Bv2,28
Cuarzo,Qz,CS03,B2,38
Cristobalita,Cr,CS01,A,0
Cristobalita,Cr,CS01,E,0
Cristobalita,Cr,CS01,Bt,4
Cristobalita,Cr,CS01,B/C,0
Cristobalita,Cr,CS01,Bn1,4
Cristobalita,Cr,CS01,Bt1,0
Cristobalita,Cr,CS01,C1,0
Cristobalita,Cr,CS03,A/E,1
Cristobalita,Cr,CS03,Bth,0
Cristobalita,Cr,CS03,B,0
Cristobalita,Cr,CS03,Bdc2,5
Cristobalita,Cr,CS03,B/C2,5
Cristobalita,Cr,CS03,Bv2,2
Cristobalita,Cr,CS03,B2,0
Plagioclasa,Pl,CS01,A,0
Plagioclasa,Pl,CS01,E,0
Plagioclasa,Pl,CS01,Bt,3
Plagioclasa,Pl,CS01,B/C,0
Plagioclasa,Pl,CS01,Bn1,35
Plagioclasa,Pl,CS01,Bt1,0
Plagioclasa,Pl,CS01,C1,0
Plagioclasa,Pl,CS03,A/E,11
Plagioclasa,Pl,CS03,Bth,13
Plagioclasa,Pl,CS03,B,0
Plagioclasa,Pl,CS03,Bdc2,20
Plagioclasa,Pl,CS03,B/C2,0
Plagioclasa,Pl,CS03,Bv2,0
Plagioclasa,Pl,CS03,B2,0
Feldespato,Fk,CS01,A,0
Feldespato,Fk,CS01,E,0
Feldespato,Fk,CS01,Bt,32
Feldespato,Fk,CS01,B/C,0
Feldespato,Fk,CS01,Bn1,0
Feldespato,Fk,CS01,Bt1,0
Feldespato,Fk,CS01,C1,0
Feldespato,Fk,CS03,A/E,0
Feldespato,Fk,CS03,Bth,0
Feldespato,Fk,CS03,B,0
Feldespato,Fk,CS03,Bdc2,0
Feldespato,Fk,CS03,B/C2,0
Feldespato,Fk,CS03,Bv2,0
Feldespato,Fk,CS03,B2,0
Anatasa,An,CS01,A,0
Anatasa,An,CS01,E,0
Anatasa,An,CS01,Bt,0
Anatasa,An,CS01,B/C,0
Anatasa,An,CS01,Bn1,0
Anatasa,An,CS01,Bt1,1
Anatasa,An,CS01,C1,0
Anatasa,An,CS03,A/E,0
Anatasa,An,CS03,Bth,0
Anatasa,An,CS03,B,0
Anatasa,An,CS03,Bdc2,0
Anatasa,An,CS03,B/C2,0
Anatasa,An,CS03,Bv2,9
Anatasa,An,CS03,B2,0
Hornblenda,Hb,CS01,A,0
Hornblenda,Hb,CS01,E,0
Hornblenda,Hb,CS01,Bt,8
Hornblenda,Hb,CS01,B/C,0
Hornblenda,Hb,CS01,Bn1,0
Hornblenda,Hb,CS01,Bt1,0
Hornblenda,Hb,CS01,C1,0
Hornblenda,Hb,CS03,A/E,4
Hornblenda,Hb,CS03,Bth,0
Hornblenda,Hb,CS03,B,0
Hornblenda,Hb,CS03,Bdc2,0
Hornblenda,Hb,CS03,B/C2,0
Hornblenda,Hb,CS03,Bv2,0
Hornblenda,Hb,CS03,B2,0
Goethita,Go,CS01,A,0
Goethita,Go,CS01,E,0
Goethita,Go,CS01,Bt,0
Goethita,Go,CS01,B/C,0
Goethita,Go,CS01,Bn1,0
Goethita,Go,CS01,Bt1,19
Goethita,Go,CS01,C1,0
Goethita,Go,CS03,A/E,0
Goethita,Go,CS03,Bth,0
Goethita,Go,CS03,B,0
Goethita,Go,CS03,Bdc2,0
Goethita,Go,CS03,B/C2,11
Goethita,Go,CS03,Bv2,9
Goethita,Go,CS03,B2,25
Hematita,Hm,CS01,A,0
Hematita,Hm,CS01,E,0
Hematita,Hm,CS01,Bt,1
Hematita,Hm,CS01,B/C,0
Hematita,Hm,CS01,Bn1,0
Hematita,Hm,CS01,Bt1,1
Hematita,Hm,CS01,C1,0
Hematita,Hm,CS03,A/E,0
Hematita,Hm,CS03,Bth,0
Hematita,Hm,CS03,B,0
Hematita,Hm,CS03,Bdc2,0
Hematita,Hm,CS03,B/C2,0
Hematita,Hm,CS03,Bv2,0
Hematita,Hm,CS03,B2,1
Halloisita,Ha,CS01,A,0
Halloisita,Ha,CS01,E,0
Halloisita,Ha,CS01,Bt,3
Halloisita,Ha,CS01,B/C,0
Halloisita,Ha,CS01,Bn1,0
Halloisita,Ha,CS01,Bt1,0
Halloisita,Ha,CS01,C1,0
Halloisita,Ha,CS03,A/E,7
Halloisita,Ha,CS03,Bth,33
Halloisita,Ha,CS03,B,0
Halloisita,Ha,CS03,Bdc2,11
Halloisita,Ha,CS03,B/C2,16
Halloisita,Ha,CS03,Bv2,20
Halloisita,Ha,CS03,B2,24
Kaolinita,Ka,CS01,A,0
Kaolinita,Ka,CS01,E,0
Kaolinita,Ka,CS01,Bt,7
Kaolinita,Ka,CS01,B/C,0
Kaolinita,Ka,CS01,Bn1,15
Kaolinita,Ka,CS01,Bt1,8
Kaolinita,Ka,CS01,C1,0
Kaolinita,Ka,CS03,A/E,5
Kaolinita,Ka,CS03,Bth,30
Kaolinita,Ka,CS03,B,0
Kaolinita,Ka,CS03,Bdc2,11
Kaolinita,Ka,CS03,B/C2,14
Kaolinita,Ka,CS03,Bv2,32
Kaolinita,Ka,CS03,B2,12
Esmectita,Sm,CS01,A,0
Esmectita,Sm,CS01,E,0
Esmectita,Sm,CS01,Bt,0
Esmectita,Sm,CS01,B/C,0
Esmectita,Sm,CS01,Bn1,0
Esmectita,Sm,CS01,Bt1,0
Esmectita,Sm,CS01,C1,0
Esmectita,Sm,CS03,A/E,0
Esmectita,Sm,CS03,Bth,3
Esmectita,Sm,CS03,B,0
Esmectita,Sm,CS03,Bdc2,0
Esmectita,Sm,CS03,B/C2,0
Esmectita,Sm,CS03,Bv2,0
Esmectita,Sm,CS03,B2,0
Ilita,Il,CS01,A,0
Ilita,Il,CS01,E,0
Ilita,Il,CS01,Bt,0
Ilita,Il,CS01,B/C,0
Ilita,Il,CS01,Bn1,0
Ilita,Il,CS01,Bt1,0
Ilita,Il,CS01,C1,0
Ilita,Il,CS03,A/E,0
Ilita,Il,CS03,Bth,1
Ilita,Il,CS03,B,0
Ilita,Il,CS03,Bdc2,0
Ilita,Il,CS03,B/C2,0
Ilita,Il,CS03,Bv2,0
Ilita,Il,CS03,B2,0
Amorfo,Am,CS01,A,0
Amorfo,Am,CS01,E,0
Amorfo,Am,CS01,Bt,7
Amorfo,Am,CS01,B/C,0
Amorfo,Am,CS01,Bn1,7
Amorfo,Am,CS01,Bt1,0
Amorfo,Am,CS01,C1,0
Amorfo,Am,CS03,A/E,0
Amorfo,Am,CS03,Bth,0
Amorfo,Am,CS03,B,0
Amorfo,Am,CS03,Bdc2,0
Amorfo,Am,CS03,B/C2,0
Amorfo,Am,CS03,Bv2,0
Amorfo,Am,CS03,B2,0
